0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
4,,,,,,,,,,,,,,,,,,,,,,,z,z,,,,,,,x
5,,,,,,,,,,,,,,,,,,,,,,,z,z,,,,,,,x
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
8,z,z,z,z,z,z,z,z,z,z,z,z,z,z,,,,,,,,,,,,,,,,,x
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
12,,,,,,,,,,,,,,,,,z,z,z,z,z,z,z,z,z,z,z,z,z,z,x
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
16,z,z,z,z,z,z,z,z,z,z,z,z,z,z,,,,,,,,,,,,,,,,,x
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
20,,,,,,,,,,,,,,,,,z,z,z,z,z,z,z,z,z,z,z,z,z,z,x
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
23,,,,,,,,z,z,,,,,,,,,,,,,,,,,,,,,,x
24,,,,,,,,z,z,,,,,,,,,,,,,,,,,,,,,,x
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
26,,,,,,,,,,,,,,,,,,,,,,z,z,,,,,,,,x
27,,,,,,,,,,,,,,,,,,,,,,z,z,,,,,,,,x
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
31,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
