0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,z,z,,,z,,,,z,z,,z,z,,,,,,,,,,z,z,,z,z,z,,,x
2,z,,,z,,z,,z,,,,z,,z,,,,,,,,,,z,,z,,z,,,x
3,z,z,,z,,z,,z,,z,,z,,z,,,,,,,,,,z,,z,,z,,,x
4,z,,z,,z,,z,,z,z,z,z,z,,,,,,,,,,,z,,z,z,z,,,x
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
15,,,z,z,,z,,z,,z,z,z,z,,z,z,z,z,,z,z,z,z,z,z,z,,,,,x
16,,z,,,z,,z,z,z,z,z,z,,,z,,z,z,,z,z,z,,z,z,z,,,,,x
17,,z,,z,z,z,z,z,,z,z,,,,z,,z,zz,,z,z,,,z,z,,,,,,x
18,,,z,z,z,,z,z,,z,z,z,z,,z,z,z,,z,,z,z,z,z,,z,,,,,x
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x
27,,z,z,,,,,z,,z,,,z,z,z,,,,z,z,,z,,z,,z,z,z,z,,x
28,,z,,z,z,,z,,z,z,,z,z,z,,,,z,,,z,,z,z,z,z,z,z,,,x
29,,z,,z,,z,z,z,z,z,z,,z,,,,,z,,z,z,z,z,z,,z,z,,,,x
30,z,z,,z,,z,z,,z,z,,z,z,z,z,,,,z,z,z,,z,z,,z,z,z,z,,x
31,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
